trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,20,19,up,0.005,db,0.04994246849682525,1,0.00035077688607998425,67.37718205410965,67.37718205410965,67.67774803654038,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,21,20,up,0.005,db,0.04994246849682525,1,0.00036587055592463,69.68483179765326,69.68483179765326,69.98580862977587,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,22,21,down,0.005,db,0.04991372757405442,1,0.00034594691214806517,72.02637075426401,72.02637075426401,72.32726366558245,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,23,22,up,0.005,db,0.04994246849682525,0,0.0003540974939824082,74.38439441328956,74.38439441328956,74.68541773391507,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,24,23,up,0.005,db,0.049971225968964,0,0.0003640593154159433,76.79296345188641,76.79296345188641,77.09393424654081,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,25,24,up,0.005,db,0.049971225968964,1,0.00040903845183493104,79.11763885497021,79.11763885497021,79.41865734562134,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,26,25,up,0.005,db,0.04999999999999999,0,0.00035107875964968116,81.4089318904189,81.4089318904189,81.70983748041999,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,27,26,up,0.005,db,0.04999999999999999,1,0.0003918316679119016,83.75043401847552,83.75043401847552,84.05158684278786,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,28,27,up,0.005,db,0.050028790599468034,0,0.0003317588621030154,86.20893019992809,86.20893019992809,86.50998068915897,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,29,28,up,0.005,db,0.050028790599468034,1,0.0003332682294967526,88.55042025304874,88.55042025304874,88.85182966974753,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,30,29,up,0.005,db,0.05005759777690843,0,0.00037432301132866996,90.89221791516002,90.89221791516002,91.19299128461353,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,31,30,up,0.005,db,0.050086421541866974,0,0.0004014916171399818,93.23352563674916,93.23352563674916,93.53449914826433,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,32,31,up,0.005,db,0.050086421541866974,1,0.00043499956336745527,95.59205010373898,95.59205010373898,95.89269487512593,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
